xi,xj,LLM_model,prompt_id
"Gently, he stroked","Gently, he stroked her hair.",Falcon-7B,90
"Gently, she lifted","Gently, she lifted the lid and peered inside.",Falcon-7B,94
With a yawn,With a yawn.,OPT,663
"Slowly, she walked","Slowly, she walked towards the door.",Falcon-7B,300
"Quietly, he moved","Quietly, he moved his hand to his lips, and
then he turned his head to look at the girl.",BLOOM,220
The fire sparked,"The fire sparked in the kitchen, and the fire was quickly extinguished.",BLOOM,424
With a shrug,"With a shrug, he said, ""I don't know.",OPT,647
As they played,"As they played the game, the two of them were in a very good mood.",BLOOM,50
"Carefully, she planted","Carefully, she planted the seed in the soil.",Falcon-7B,87
The grass swayed,The grass swayed.,GPT-Neo,444
He looked away,He looked away from the camera for a second.,OPT,115
With a splash,"With a splash of colour, this is a great way to add a touch of colour to your home.",BLOOM,654
"Quietly, she sang","Quietly, she sang to herself,
“I’m not a princess, I’m not a queen,
I’m not a fairy, I’m not a dream,
I’m not a star, I’",Falcon-7B,228
The fire crackled,The fire crackled and crackled.,OPT,418
The bread baked,The bread baked at the beginning of this month's bread bake at the bakery will not taste like the bread baked at the end of the month.,GPT-Neo,334
He remembered when,He remembered when he was a kid and he was playing with his friends and he was playing with a toy gun and he accidentally shot himself in the head.,OPT,126
As they played,"As they played the game, they were all like ""I'm not going to be able to play this game anymore""
I'm not sure if I should be happy or sad that I'm not the only one who thought that.",OPT,50
He stood up,He stood up.,GPT-Neo,134
The cat meowed,The cat meowed and rubbed against my legs.,Falcon-7B,358
In the study,"In the study, researchers were able to develop their own, yet controversial, drug designed to treat high fever in patients with severe or severe allergies and asthma.",GPT-2,208
The costume fit,"The costume fit was a large part of our job and I don't think that will change on the final season, given the amount of changes in the story.",GPT-2,380
As they escaped,"As they escaped, the two men were shot and killed.",BLOOM,38
As day ended,"As day ended, the world was still in shock.",OPT,7
"Slowly, she turned","Slowly, she turned her head to look at him.",OPT,299
With a smile,"With a smile on his face, the man who has been in the spotlight for the past few months, has been spotted in the company of his wife and daughter.",OPT,649
The stream bubbled,The stream bubbled over.,GPT-Neo,571
The pen scratched,"The pen scratched the surface of the paper, and the paper was
covered with a thin layer of water.",BLOOM,512
"Quietly, he whispered","Quietly, he whispered, ""I'm sorry, I didn't mean to scare you.",Falcon-7B,223
The camera clicked,The camera clicked on the wrong person.,OPT,341
The dog sniffed,The dog sniffed the bag and then the bag was opened.,OPT,399
He looked away,"He looked away a little bit when Mr Shriver left, but he added: ""I'm sure the local people have all seen him.",GPT-2,115
Beneath the surface,"Beneath the surface of the earth, there is a vast ocean of water.",OPT,70
She stepped forward,She stepped forward.,GPT-2,272
The stairs creaked,The stairs creaked from the weight of people on them.,GPT-Neo,562
The details emerged,"The details emerged in a letter sent to the House Judiciary Committee by the House Intelligence Committee, which is investigating Russian interference in the 2016 election.",OPT,396
With a yawn,With a yawn.,OPT,663
As they drove,"As they drove, the sun was setting and the sky was a beautiful pink and orange.",Falcon-7B,35
The trail beckoned,The trail beckoned me.,OPT,585
The stars twinkled,The stars twinkled and the moon rose.,BLOOM,566
She presented the,"She presented the ""Best of the Best"" award to the 2012-2013 school year's top students.",Falcon-7B,257
The fire died,The fire died out in the middle of the night.,BLOOM,419
As night approached,"As night approached, the sky turned a deep blue and the stars began to appear.",Falcon-7B,13
The lunch crowd,The lunch crowd is always the worst.,OPT,480
She sipped the,She sipped the wine and looked at the man.,Falcon-7B,267
In the market,In the market for a new car?,Falcon-7B,188
The pages turned,"The pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the pages turned, the",OPT,507
In the courtroom,"In the courtroom

Posted by admin on November 20, 2014

I was in the courtroom for the first day of the trial of the man who killed my husband, my brother and my niece, and who is in prison for a murder he",GPT-Neo,164
In the cave,"In the cave, a man had broken into a cave to get revenge: ""What do I have to lose?",GPT-2,157
She turned around,She turned around and looked at me.,Falcon-7B,275
"Slowly, he moved","Slowly, he moved his hand down her body, his fingers trailing over her skin, until he reached her hips.",Falcon-7B,288
In the concert,"In the concertina-type spring closure, the closure plate is closed together so that the end surfaces of the plate are abutted with each other to hold the slide rail so as to be capable of positioning in a closed state.",GPT-Neo,162
The orchestra swelled,The orchestra swelled; my heart beat fast.,GPT-Neo,505
The phone rang,"The phone rang, but I was still on my feet.",GPT-2,515
As day began,"As day began to dawn, the sun was shining brightly and the wind was blowing strong.",BLOOM,5
"Gently, he petted","Gently, he petted me in a good way.",GPT-2,88
With a sniffle,"With a sniffle or two, I found my new mate and started to take his position.",GPT-2,652
The art lived,"The art lived in the world of the artist, and the art lived in the world of the artist.",BLOOM,311
With a smile,"With a smile, he said, “You’re not the only one.",BLOOM,649
She whispered softly,"She whispered softly, ""I'm sorry.",OPT,280
"Gently, she massaged","Gently, she massaged his balls.",OPT,95
With a twist,"With a twist of fate and an attempt to convince his estranged husband of the death, Harry agrees to come by again on his own to save the world from the wizarding world's most hated villain, Dumbledore.",GPT-2,660
With a chorus,"With a chorus of ""Allahu Akbar"", a crowd-chanting Islamic prayer from the mosque of the Al-Shariah school at the foot of the High Atlas Mountains, about half way between Marrakesh and the Spanish border, a tiny",GPT-Neo,627
The bird soared,"The bird soared to the top of the hill, and the sun was shining on the
sky.",BLOOM,329
She programmed the,She programmed the robot to do it.,OPT,258
He harvested the,"He harvested the eggs of the other women who took part in the ritual, some of them having a penis or a nipple at the time and others suffering a form of gonorrhea that may have begun after they had penetrated a man.",GPT-2,112
He sculpted the,"He sculpted the statue of the Emperor of the Romans, and the statue of the Emperor of the Jews, and the statue of the Emperor of the Christians, and the statue of the Emperor of the Jews, and the statue of the Emperor of the",BLOOM,129
The idea formed,"The idea formed in the minds of two men who were both born in the same year, but who had different fathers.",OPT,453
The stars faded,"The stars faded and disappeared, and only a thin sliver of yellow sun remained.",GPT-Neo,564
With a yawn,With a yawn he lay in the sunlight.,GPT-Neo,663
The storm raged,"The storm raged on, and the wind howled.",Falcon-7B,569
As they fished,"As they fished for the first time in the new year, the anglers on the “Fishing with the Pros” show on the Outdoor Channel were reminded of the importance of the first cast.",Falcon-7B,42
The boat rocked,The boat rocked and the wind blew.,BLOOM,330
In the dojo,"In the dojo, you can see the ""new"" tab.",OPT,170
As they drove,"As they drove away, the driver of the car that hit the cyclist said, ""I'm sorry, I didn't see you.",OPT,35
The storm brewed,"The storm brewed in the background, and the wind blew the leaves off the trees.",OPT,568
The wind whispered,"The wind whispered, the ice clattered.",GPT-Neo,611
As they listened,"As they listened to the crowd on her way to a final confirmation vote, the three women said they had no interest in an ""election for president"".",GPT-2,46
In the concert,"In the concert hall, the sound is so good that you can hear the music from the stage.",OPT,162
In the bedroom,"In the bedroom, I'm a little more reserved.",OPT,153
In the cave,"In the cave, the cave is a place where the cave is a place where the cave is a place where the cave is a place where the cave is a place where the cave is a place where the cave is a place where the cave is a",BLOOM,157
In the library,"In the library and elsewhere, as we move forward into the third decade of the 21st century, there is a strong urge to turn back the clock.",GPT-Neo,184
As they farmed,"As they farmed for a decade in the New York wilderness, Sarah and Ben Stetson raised their family in a ramshackle farmhouse surrounded by a sprawling expanse of fields, corn, and hay.",GPT-Neo,41
The cat purred,The cat purred and the cat was very tired.,BLOOM,359
As spring bloomed,"As spring bloomed, the first signs of spring fever were evident in the air.",OPT,19
The leaves swirled,"The leaves swirled around the tree, and the wind blew them away.",OPT,471
The camera clicked,The camera clicked on the scene and the scene was shown to the user.,BLOOM,341
In the market,"In the market, it’s not unusual to see a small number of large names dominating the shelves, despite them being a rare commodity.",GPT-Neo,188
She spotted the,"She spotted the man in the distance, walking toward her.",Falcon-7B,270
In the theater,"In the theater, the stage is the place where the action takes place.",Falcon-7B,210
The secret revealed,"The secret revealed to me was that, even if I had been a very hard guy, there was no way I was not a monster.",GPT-2,546
The baby cried,The baby cried.,Falcon-7B,315
The toppings added,"The toppings added to the toasted pizzetta were cut in half, and the cheese was shaved down just a little, just enough to make it slightly less soft and less rubbery.",GPT-Neo,583
The train rumbled,"The train rumbled through the night, the lights of the city fading into the distance.",OPT,588
The bell rang,The bell rang and the students filed into the auditorium.,OPT,323
The music soared,"The music soared to international acclaim late last year, and now it's one of the most controversial tracks in the record.",GPT-2,498
The door slammed,The door slammed shut behind me and I turned to see the woman who had been in my apartment earlier that morning.,GPT-Neo,405
Sitting by the,"Sitting by the pool, I was reading a book about the history of the United States.",Falcon-7B,282
As night approached,"As night approached, the sun was setting and the wind was blowing.",BLOOM,13
"Softly, she sang","Softly, she sang,
“I’m a little teapot, short and stout,
Here is my handle, here is my spout.",Falcon-7B,302
With a chorus,"With a chorus of “Oohs” and “Aahs” from the audience, the 2013-14 season of the University of Wisconsin-Eau Claire Concert Choir was launched with a performance of “The Star-Sp",Falcon-7B,627
As they chatted,"As they chatted, the man said he was a former Marine and had served in Iraq.",OPT,29
The horse galloped,"The horse galloped away, and the
horses were driven off.",BLOOM,447
As they deciphered,"As they deciphered the genetic code of the human genome, scientists discovered that the human body contains 20,000 genes.",Falcon-7B,34
"Slowly, he descent","Slowly, he descent the spiral stairs to the basement, one at a time, each step made more of a thump than the one before.",GPT-Neo,286
As they cooked,"As they cooked the food, they were all thinking ""I wonder what the hell is in this.",OPT,31
She sipped the,She sipped the coffee and then she went to the bathroom.,BLOOM,267
She closed her,"She closed her eyes and slowly put her hands on her hips, reaching back to caress her clit.",GPT-2,237
The leaves rustled,"The leaves rustled in the wind, and the sun shone down on the two figures.",Falcon-7B,470
With a beep,"With a beep, a beep, a beep, a beep, a beep, a beep, a beep, a beep, a beep, a beep, a beep, a beep,",OPT,620
The snow fell,"The snow fell on the ground, and the wind blew in the direction of the
winds.",BLOOM,556
The smoke rose,"The smoke rose from the chimney, and the smell of the wood fire was in the air.",Falcon-7B,554
He sculpted the,"He sculpted the statue of the Emperor of the Romans, and the statue of the Emperor of the Jews, and the statue of the Emperor of the Christians, and the statue of the Emperor of the Jews, and the statue of the Emperor of the",BLOOM,129
"Quietly, she crept","Quietly, she crept into the room.",Falcon-7B,224
The magic sparked,The magic sparked in me as I watched.,GPT-2,481
With a shrug,"With a shrug of his shoulders, he says, ""It's never too late.",GPT-Neo,647
The lesson ended,The lesson ended with a discussion about the importance of the role of the community in the development of the community.,BLOOM,472
The curtain fell,"The curtain fell on the first day of the new season of the hit show, “The Voice” on Monday night.",OPT,387
The wind gusted,The wind gusted so hard that the windscreen wipers were stuck.,OPT,609
"Carefully, he placed","Carefully, he placed the gun butt on the other seat cushion by his right hip, holding it there.",GPT-Neo,76
"Gently, he touched","Gently, he touched down on the ground before her.",GPT-2,92
As they chatted,"As they chatted, the man asked the woman if she was married.",Falcon-7B,29
As they walked,"As they walked, the two men talked about the weather, the crops, the price of cattle, and the latest news from the capital.",Falcon-7B,65
The phone rang,"The phone rang, interrupting my reverie.",GPT-Neo,515
The letter arrived,The letter arrived in the mail today.,OPT,473
"Quietly, he entered","Quietly, he entered the room, and
looked at the clock.",BLOOM,217
With a chill,"With a chill in the air and clouds of dust in the distance, these two men stand in their front yard in North Texas.",GPT-Neo,625
The ice melted,The ice melted from our minds.,GPT-Neo,452
"Gently, she massaged","Gently, she massaged Harry's chest at the same time as she tried to kiss her.",GPT-2,95
The door closed,The door closed on the last day of the school year.,OPT,402
The car sped,The car sped up and the driver was trying to get out of the way.,OPT,353
She waited for,"She waited for the bus,
She waited for the bus,
She waited for the bus,
She waited for the bus,
She waited for the bus,
She waited for the bus,
She waited for the bus,
She",Falcon-7B,277
The stars shone,The stars shone in the center of a huge red light in the background.,GPT-2,565
In the gallery,"In the gallery, the artist’s work is displayed in a series of sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures, sculptures,",BLOOM,175
He whispered to,"He whispered to me, ""I'm going to make you cum so hard.",Falcon-7B,146
The grass swayed,"The grass swayed in the wind, the sun shone down on the green, and the birds chirped in the trees.",Falcon-7B,444
The horse neighed,The horse neighed through the dawn as it began its walk into the sunset.,GPT-Neo,448
The canvas came,The canvas came out great.,Falcon-7B,351
The file opened,The file opened in the program.,Falcon-7B,415
The dog barked,"The dog barked and the cat meowed, and the cat's friends ran out and danced around.",GPT-Neo,397
She stepped back,She stepped back and looked at the man who was holding her hand.,BLOOM,271
The grass swayed,"The grass swayed in the wind, and the wind swayed in the grass.",BLOOM,444
With a laugh,"With a laugh, he added, ""You get to take me up as a client, and, uh—"" He paused and looked puzzled.",GPT-Neo,642
"Carefully, she lifted","Carefully, she lifted her head from the table and laid it on the table opposite the sink, feeling it fall onto one of the shelves below.",GPT-2,84
The car honked,The car honked and the driver ran to the window.,BLOOM,352
Yesterday I went,Yesterday I went to the doctor for my annual checkup.,Falcon-7B,670
The door creaked,The door creaked open and he stepped inside.,GPT-Neo,403
He harvested the,"He harvested the seeds from the plant, not the fruit.",OPT,112
In the workshop,"In the workshop, the scientists examined their DNA (which is basically a blueprint for every cell) and analyzed the protein's chemical structures.",GPT-2,212
"Softly, she sang","Softly, she sang the song, softly she sang the song

So I said to her, softly, I said to the girl, softly, I said to the girl

Softly, she sang the song, softly she sang the",GPT-Neo,302
With a twist,"With a twist of fate, the story of the man who was the first to discover the secret of the world’s greatest secret is told in the form of a book.",BLOOM,660
She saddled the,She saddled the girl with a bag of rice and a few more things.,BLOOM,261
The balloon floated,The balloon floated away.,OPT,319
The crowd swayed,"The crowd swayed to the music, and the dancers moved in unison.",Falcon-7B,385
The ride began,The ride began at 7:30 a.,Falcon-7B,536
The cat purred,The cat purred as he walked the corridors of his home.,GPT-2,359
The stars twinkled,The stars twinkled in the sky as the sun set over the ocean.,OPT,566
The snow fell,"The snow fell on the ground, and the wind blew in the direction of the
winds.",BLOOM,556
The dog barked,The dog barked.,Falcon-7B,397
The leaves changed,The leaves changed colors to green after they had been used in the preparation of a cocktail.,GPT-2,466
"Gently, she placed","Gently, she placed the jar in the small table beside the lamp.",GPT-Neo,96
She added the,"She added the ""I'm not a racist"" part.",OPT,232
The bell rang,The bell rang and the students filed into the classroom.,Falcon-7B,323
The camera zoomed,"The camera zoomed in on the man's face, and he looked like he was in his late twenties.",Falcon-7B,344
The rain drummed,"The rain drummed on the roof of the car, and the wipers swished back and forth.",Falcon-7B,530
He stood up,He stood up and looked at the man.,BLOOM,134
As they observed,"As they observed that the number of patients with a positive test result was higher in the group with a positive test result than in the group with a negative test result, they concluded that the positive test result was a good indicator of the presence of a positive",BLOOM,48
The letter arrived,"The letter arrived in a envelope in a special envelope packaging and was addressed to ""Gwen"".",GPT-2,473
The ocean roared,The ocean roared to the surface of the ocean.,GPT-Neo,503
The stars appeared,The stars appeared just as the little girl’s eyes filled with tears.,GPT-Neo,563
As spring bloomed,"As spring bloomed in the spring, and the flowering time was from May to June.",BLOOM,19
With a clink,"With a clink of the champagne, it was over.",GPT-Neo,630
With a yawn,"With a yawning and rumbling, I have just woken up after a night of wine tasting in the vineyards at Montpellier.",GPT-Neo,663
In the basement,In the basement of the old courthouse in downtown St.,Falcon-7B,152
In the lobby,"In the lobby, there is a button that says ""Join Game"" or something like that.",OPT,186
He sat down,"He sat down and said, ""Good work.",GPT-2,128
She selected the,She selected the wrong one.,OPT,265
As they analyzed,"As they analyzed the data, the researchers found that the women who had the highest levels of the protein in their blood were 2.",Falcon-7B,23
With a frown,"With a frown set in on her stern face, he turned from the car to the road back towards a house for one evening.",GPT-2,635
The book fell,The book fell off the shelf and broke.,OPT,332
The dog wagged,The dog wagged his tail and barked.,Falcon-7B,400
As night fell,"As night fell on the night of Christmas, and the next day he was taken from his room, with its doors shut, by a group of about ten armed men, who told him that he would have to take shelter in the bed he slept in",GPT-2,15
The book fell,The book fell apart in my hands.,BLOOM,332
The door opened,"The door opened into the room filled with one of three people, two of them wearing dark green jumpsuits (one at a time), a black longsword and an orange-colored sword.",GPT-2,404
"Carefully, she aimed","Carefully, she aimed the gun around the room.",GPT-Neo,81
The clock ticked,"The clock ticked down to the final seconds of the 2012 season, and the New York Giants were in a familiar position.",Falcon-7B,372
He stepped forward,"He stepped forward, out from behind his desk and into the open doorway.",GPT-Neo,133
"Slowly, he walked","Slowly, he walked towards the door.",Falcon-7B,294
In the attic,"In the attic of the house where I grew up, there was a closet that was filled with old clothes.",Falcon-7B,148
In the recital,"In the recital hall of the University of North Carolina School of the Arts, a young woman in a black dress and a black wig sat at a piano, her hands poised over the keys.",Falcon-7B,198
With a grin,"With a grin, I said, ""I'm not sure I'd call it a 'gift' but I'm glad you like it.",Falcon-7B,638
The wildlife thrived,"The wildlife thrived in the area, and the area was a popular place for hiking and biking.",BLOOM,607
"Quietly, he meditated","Quietly, he meditated on the idea of a new world order.",OPT,219
The curtain parted,The curtain parted and we saw the world of politics under new light.,GPT-Neo,389
In the database,"In the database, I know of a couple of things that you would like to see in the design; for example, how to prevent the ""D"" from entering the database in a way more like a line to denote a ""blank slate"" to",GPT-2,167
"Slowly, he turned","Slowly, he turned his head to look at her.",Falcon-7B,292
The chapter ended,"The chapter ended up on
a Friday night, and most of the students went home at 9 p.",GPT-Neo,362
As they walked,"As they walked out of the room, the two men looked at each other and smiled.",OPT,65
He whispered to,"He whispered to herself in a shaky, shaky voice, ""This will come to a rest with the two of us when the battle ends.",GPT-2,146
She looked back,"She looked back at me and said ""I'm not going to tell you what to do, but I'm going to tell you what not to do.",OPT,249
The kite soared,"The kite soared and sailed over the edge of the cliffs, high above the
sea, and then, as though impelled by a mysterious power, was suddenly
gliding away.",GPT-Neo,463
In the stable,"In the stable version of the game, you can't use the ""L"" key to move.",OPT,205
"Slowly, she walked","Slowly, she walked through the city, and her eyes met the faces of the people who were at her tail end when her tail went down.",GPT-2,300
The deal closed,The deal closed last June 12.,GPT-Neo,394
She turned around,"She turned around, turned to him.",GPT-2,275
With a yawn,"With a yawn, the two men turned to the other side of the room.",BLOOM,663
In the morning,"In the morning, I wake up and I'm like ""I'm going to go to the gym today"" and then I'm like ""I'm going to go to the gym today"" and then I'm like ""I'm going to go",OPT,191
As they waited,"As they waited for the bus, a group of young men in their 20s and 30s gathered around a small table in the middle of the street.",OPT,64
As she walked,"As she walked out of the room, she saw the man she had been with for the past few hours.",OPT,17
She bargained for,"She bargained for some time with the
king about the new order and they

were finally able to have the order

of the sword and the throne in their

hands, but when the king had become

fat, and",GPT-Neo,234
In the cellar,"In the cellar of the old house, the wine is stored in large wooden barrels.",Falcon-7B,158
The secret revealed,The secret revealed by the study is that the human brain is a complex system that is composed of many different cells and tissues.,BLOOM,546
The baby cooed,The baby cooed was heard.,GPT-2,314
She looked down,She looked down at the papers in her lap.,GPT-Neo,250
The moon glowed,"The moon glowed in the sky, and the stars were shining brightly.",BLOOM,489
"Quietly, he entered","Quietly, he entered his bedroom to find his sister staring at him.",GPT-2,217
The rain stopped,"The rain stopped, and the wind was blowing in the direction of the sun.",BLOOM,534
In the morning,"In the morning, Kiel and his friends gathered at the bar at the park which had fallen victim to the storms.",GPT-2,191
The cat meowed,"The cat meowed a little, coming to the ears of the boy, and he was surprised by the cat's voice.",GPT-2,358
"Quietly, she crept","Quietly, she crept outside, into a house made of small straw.",GPT-2,224
The bell tolled,"The bell tolled the sound of the wind, and the wind was
still.",BLOOM,324
The stars faded,The stars faded but we're seeing some good moments and the atmosphere seems to be warming up well.,GPT-2,564
She walked towards,"She walked towards his car, and he stopped.",GPT-Neo,279
"Slowly, he turned","Slowly, he turned to the other side of the room and
looked at the clock.",BLOOM,292
She stood up,She stood up for herself and she's a fucking hero.,OPT,274
With a chisel,With a chisel and a hammer.,OPT,626
The coffee steamed,"The coffee steamed hot over the fire at an elevated point between the walls of the kitchen, while several of those inside the restaurant made an effort to resist any direct lighting during the blaze.",GPT-2,375
In the library,"In the library, I was able to find a book that was written by a woman who was a survivor of the Holocaust.",Falcon-7B,184
The dog barked,The dog barked.,Falcon-7B,397
The conversation flowed,"The conversation flowed easily, and I was able to share my story with her.",Falcon-7B,378
The camera flashed,"The camera flashed, and the door slammed.",GPT-Neo,342
"Slowly, he turned","Slowly, he turned his head to look at her.",Falcon-7B,292
The crust stretched,"The crust stretched, and the waves crashed against the rocks, so heavy, that his boatman, who had to stand up and swim, was tossed aside.",GPT-Neo,386
In the kitchen,"In the kitchen, there were seven tables with four chairs.",GPT-2,181
She looked up,She looked up at the man who was holding the knife.,BLOOM,251
He lifted the,"He lifted the knife, and took the young man's clothes.",GPT-2,113
The flowers bloomed,"The flowers bloomed and the birds sang, but the sun was still shining.",OPT,433
She encrypted the,She encrypted the file and sent it to the email address she had been given.,Falcon-7B,242
In the attic,"In the attic, the kitchen, and the living room, the kitchen is a large space with a large kitchen island.",BLOOM,148
As dawn broke,"As dawn broke, the sun was shining brightly on the horizon.",BLOOM,4
The kite danced,The kite danced its way back into his saddle and I pulled in.,GPT-2,460
The fire dimmed,"The fire dimmed, and the fire was extinguished.",BLOOM,420
"Carefully, she cut","Carefully, she cut her finger on the edge of the knife.",OPT,83
As they deciphered,"As they deciphered the complex web of factors that have shaped the election of Donald Trump, many Republicans saw something in his candidacy that was as attractive as it was confounding.",GPT-Neo,34
As they encored,"As they encored the entire team, they realized that the two teams are now part of the same army.",GPT-2,37
The land provided,"The land provided shelter to people, a place to grow foods and make clothes from the plants they grew there.",GPT-Neo,465
In the den,"In the denoising process, the image is first transformed into a low-pass filtered image, and then the image is restored to the original image.",BLOOM,168
With a cheer,"With a cheer, they rushed towards the two men.",GPT-Neo,624
With a start,"With a start out, here's an overview of what I've already written so far, it contains some general information:

Sustainability

I'm not going to go through everything that follows.",GPT-2,657
The path curved,The path curved gently up the hill in a line.,GPT-Neo,509
As they smiled,"As they smiled and laughed, the two men were arrested and charged with the murder of a man who was found dead in a car in the middle of the night in the city of Wuhan, China.",OPT,58
"Carefully, he placed","Carefully, he placed the box on the table and opened it.",Falcon-7B,76
In the bakery,"In the bakery I work at, we have a rule that if you're not a manager, you can't be a manager.",OPT,150
In the theater,"In the theater, in which the players are able to experience life in a world full of threats and oppression of all kinds, I had some interesting reflections.",GPT-2,210
"Gently, he touched","Gently, he touched her cheek.",Falcon-7B,92
As they read,"As they read the story, the students will be able to identify the main idea and supporting details.",Falcon-7B,53
The cat purred,The cat purred.,OPT,359
The phone rang,"The phone rang in New York, and a white man walked up and greeted me asking about my business.",GPT-2,515
As night fell,"As night fell, the sun was setting over the mountains of the Sierra Nevada.",OPT,15
The horse neighed,The horse neighed down.,GPT-2,448
With a leap,"With a leap of faith, a new generation of entrepreneurs is taking on the world

The world is changing.",OPT,643
He reached out,He reached out and touched her cheek.,Falcon-7B,124
"Quietly, she crept","Quietly, she crept to her feet, glancing at the bed to be sure it was still where she had left it.",GPT-Neo,224
The clock chimed,"The clock chimed, and the door opened.",OPT,370
The flower wilted,The flower wilted and the leaves were yellow.,BLOOM,432
She discovered the,She discovered the world of the Internet in 1995 and has been a part of it ever since.,Falcon-7B,241
The alarm sounded,The alarm sounded before it even was beginning—and the man in the red jacket had stopped his car in front of him to make room so the alarm went off and they all heard it.,GPT-2,307
With applause,"With applause, Trump says he's'very proud' of his administration's response to coronavirus
President Donald Trump said he's ""very proud"" of his administration's response to the coronavirus pandemic, as he returned to the",OPT,664
As they listened,"As they listened to the story, they were amazed at the fact that the story was so true.",BLOOM,46
The candle melted,"The candle melted down quickly and all of a sudden, two or three young men running away from it began to move towards the light bulb of the light bulb.",GPT-2,349
The elevator arrived,The elevator arrived just as the door was closing behind her.,GPT-Neo,410
With a frown,"With a frown on his face, he looked at the man who had just entered the room.",OPT,635
The bird sang,"The bird sang, and the bird flew away.",BLOOM,328
The day passed,"The day passed by, and the day was over.",BLOOM,393
"Slowly, she walked","Slowly, she walked toward the house.",GPT-Neo,300
The wind howled,"The wind howled as Braid and his friends began to descend, screaming at the sky, 'Fancy.",GPT-2,610
As they climbed,"As they climbed the steps, they saw the
solitary figure of the man who had been the chief of the tribe.",BLOOM,30
The bell tolled,The bell tolled for the last time at the old St.,Falcon-7B,324
He sat down,He sat down for a short chat as he answered some questions about himself and her relationship with her husband.,GPT-2,128
The train whistled,The train whistled and the train whistled and the train whistled and the train whistled and the train whistled and the train whistled and the train whistled and the train whistled and the train,BLOOM,589
The sun peeked,The sun peeked through the clouds and the temperature was in the 70s.,Falcon-7B,572
With a fizz,"With a fizzling economy and looming financial disaster, the United States government is making plans to give the American people a $800 billion stimulus package, a huge sum that was included in the package approved by US Congress last week.",GPT-Neo,633
The smoke rose,The smoke rose from the kitchen of my aunt's house.,GPT-Neo,554
With a waft,"With a waft of the hand, the “magic” of the “magic wand” is gone.",Falcon-7B,661
The flower bloomed,"The flower bloomed, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew, the leaves grew,",OPT,430
The lightning flashed,The lightning flashed red.,GPT-2,476
In the library,"In the library, the user can select the type of the file to be saved.",BLOOM,184
As dawn broke,"As dawn broke over the city of Aleppo, the Syrian army and its allies advanced on the rebel-held eastern part of the city, seizing the strategic airport and the strategic town of Saraqeb.",OPT,4
The glasses toasted,The glasses toasted the bread.,OPT,440
The waves crashed,The waves crashed and came down upon each other at a height.,GPT-2,603
The ocean roared,The ocean roared and the waves crashed against the shore.,OPT,503
He pondered the,"He pondered the matter for a moment, and then he
recalled that he had not been able to find a way to get the
telegraph to the house.",BLOOM,122
The door slammed,The door slammed shut behind him.,OPT,405
With a chill,"With a chill in the air, the first day of fall is here
The first day of fall is here.",OPT,625
With a smile,"With a smile, a hug, and a kiss,
I'll be there to help you through the rough times.",Falcon-7B,649
The plants thrived,"The plants thrived in the hot, dry conditions of the desert.",OPT,519
The bell rang,The bell rang.,GPT-Neo,323
He pondered the,"He pondered the idea of a more permanent, non-transplant, solution, but ultimately declined.",GPT-Neo,122
"Gently, he strummed","Gently, he strummed his guitar and sang along.",BLOOM,91
In the pantry,"In the pantry, I have a jar of peanut butter.",OPT,195
In the study,"In the study of the effect of the presence of the drug on the activity of the enzyme, the effect of the drug on the activity of the enzyme was studied in the presence of the enzyme.",BLOOM,208
The mind cleared,"The mind cleared, the body relaxed, the heart opened, the soul awakened.",Falcon-7B,485
She scored the,"She scored the first pass for a young teammate and, despite holding both the defensive end and defensive end when his defensive tackle got himself in trouble.",GPT-2,264
In the competition,"In the competition, the winner will be the one who can make the most money.",OPT,161
The chemicals reacted,The chemicals reacted on the outside of the egg white.,GPT-Neo,364
As night fell,"As night fell, the sun was setting over the mountains of the Sierra Nevada.",OPT,15
With a sigh,"With a sigh, I looked at the calendar.",OPT,648
The rain poured,"The rain poured down on the city of New York on Tuesday, but the city’s residents were not deterred.",OPT,533
He looked back,He looked back at the door.,Falcon-7B,116
In the closet,"In the closet, I felt like I could feel his breathing, to the point where they would try to lift me off.",GPT-2,160
"Carefully, she cut","Carefully, she cut out the red tape, but it wasn't so difficult.",GPT-2,83
She posed for,"She posed for a photo with her husband, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor and singer, actor",BLOOM,255
In the closet,"In the closet of a friend’s apartment, you know, the top of a cupboard, the bottom of a wardrobe, in a bathroom, in a kitchen, in a loo, a nook, a cranny, a cub",GPT-Neo,160
"Gently, she touched","Gently, she touched my shoulder.",OPT,102
With a breath,"With a breath of fresh air, we hit the ground and took off as fast as we could.",GPT-2,622
He stepped forward,He stepped forward to get a better look at the body.,GPT-Neo,133
She turned away,"She turned away from her work and said, ""I suppose that makes you a man of science.",GPT-Neo,276
She waited for,She waited for seven hours in a local fire station without food.,GPT-2,277
The flower bloomed,"The flower bloomed in the middle of the night; the flower bloomed in the middle of
the morning; the flower bloomed in the middle of the afternoon; the flower bloomed
in the middle of the evening.",GPT-Neo,430
